Academic Yr,Semester Nm,Instructional Format Nm,Course Subject Short Nm,Enrollment Cnt,Offerings,EnrollPerOff,NA,Units
2008-09,Spring,Lecture,History,3071,45,68.24444444,171,12252
2015-16,Fall,Lecture,Physics,3108,48,64.75,171,12225
2011-12,Fall,Lecture,Political Science,3555,33,107.7272727,171,12207
2010-11,Fall,Lecture,Business Admin-Undergrad,4163,58,71.77586207,171,12169
2003-04,Spring,Lecture,Chemistry,3193,42,76.02380952,171,12054
2010-11,Fall,Lecture,Sociology,2985,46,64.89130435,171,12054
2008-09,Spring,Lecture,Physics,3081,44,70.02272727,171,11998
2003-04,Spring,Lecture,Physics,3065,43,71.27906977,171,11964
2014-15,Spring,Lecture,Law,3944,150,26.29333333,171,11958
2008-09,Fall,Lecture,Physics,3060,36,85,171,11956
2010-11,Spring,Lecture,Physics,3049,39,78.17948718,171,11937
2007-08,Fall,Lecture,Physics,3051,39,78.23076923,171,11909
2006-07,Spring,Lecture,Physics,3050,44,69.31818182,171,11897
2003-04,Fall,Lecture,Economics,3132,37,84.64864865,171,11887
2007-08,Spring,Lecture,History,2972,36,82.55555556,171,11873
2009-10,Fall,Lecture,Sociology,2942,37,79.51351351,171,11871
2003-04,Fall,Lecture,Physics,2999,42,71.4047619,171,11868
2007-08,Spring,Lecture,Physics,3084,45,68.53333333,171,11839
2004-05,Spring,Lecture,English,2991,87,34.37931034,171,11838
2012-13,Fall,Lecture,Political Science,3483,32,108.84375,171,11832
2013-14,Spring,Lecture,Sociology,2956,38,77.78947368,171,11820
2008-09,Fall,Lecture,Molecular & Cell Biology,3210,27,118.8888889,171,11815
2015-16,Spring,Lecture,Chemistry,4627,46,100.5869565,171,11812
2006-07,Fall,Lecture,Physics,3013,40,75.325,171,11806
2005-06,Spring,Lecture,Molecular & Cell Biology,3380,38,88.94736842,171,11795
2004-05,Spring,Lecture,Physics,3015,42,71.78571429,171,11782
2010-11,Fall,Lecture,Law,3426,82,41.7804878,171,11754
2004-05,Fall,Lecture,Physics,2985,37,80.67567568,171,11732
2015-16,Fall,Lecture,Sociology,2885,34,84.85294118,171,11705
2005-06,Spring,Lecture,Physics,3046,46,66.2173913,171,11701
2008-09,Spring,Lecture,Business Admin-Undergrad,3963,45,88.06666667,171,11697
2007-08,Fall,Lecture,Molecular & Cell Biology,3174,28,113.3571429,171,11693
2006-07,Spring,Lecture,History,2920,38,76.84210526,171,11671
2009-10,Fall,Lecture,English,2919,80,36.4875,171,11665
2006-07,Spring,Lecture,Molecular & Cell Biology,3378,33,102.3636364,171,11664
2006-07,Spring,Lecture,English,2934,86,34.11627907,171,11602
2015-16,Spring,Lecture,Physics,2933,45,65.17777778,171,11600
2009-10,Fall,Lecture,History,2904,41,70.82926829,171,11595
2008-09,Spring,Lecture,Molecular & Cell Biology,3310,34,97.35294118,171,11588
2012-13,Spring,Lecture,Law,3845,157,24.49044586,171,11577
2010-11,Fall,Lecture,English,2896,81,35.75308642,171,11567
2010-11,Spring,Lecture,Political Science,3446,35,98.45714286,171,11546
2009-10,Spring,Lecture,Business Admin-Undergrad,3900,51,76.47058824,171,11541
2005-06,Fall,Lecture,History,2956,52,56.84615385,171,11539
2011-12,Spring,Lecture,Sociology,2846,37,76.91891892,171,11514
2009-10,Fall,Lecture,Business Admin-Undergrad,3802,45,84.48888889,171,11502
2010-11,Spring,Lecture,Sociology,2820,42,67.14285714,171,11471
2005-06,Fall,Lecture,Physics,2914,43,67.76744186,171,11461
2007-08,Spring,Lecture,English,2865,87,32.93103448,171,11460
2007-08,Spring,Lecture,Political Science,3379,28,120.6785714,171,11410
2013-14,Spring,Lecture,Law,3732,141,26.46808511,171,11335
2010-11,Fall,Lecture,History,2835,39,72.69230769,171,11325
2009-10,Spring,Lecture,History,2839,39,72.79487179,171,11321
2003-04,Spring,Lecture,English,2862,87,32.89655172,171,11318
2003-04,Fall,Lecture,History,2890,44,65.68181818,171,11304
2012-13,Spring,Lecture,Political Science,3273,41,79.82926829,171,11301
2010-11,Fall,Lecture,Computer Science,2953,48,61.52083333,171,11282
2011-12,Fall,Lecture,Law,3357,86,39.03488372,171,11271
2009-10,Spring,Lecture,English,2812,83,33.87951807,171,11248
2006-07,Fall,Lecture,Molecular & Cell Biology,3111,25,124.44,171,11238
2007-08,Spring,Lecture,Molecular & Cell Biology,3209,34,94.38235294,171,11228
2012-13,Spring,Lecture,Sociology,2770,37,74.86486486,171,11225
2003-04,Fall,Lecture,Molecular & Cell Biology,3234,37,87.40540541,171,11219
2007-08,Fall,Lecture,English,2808,79,35.5443038,171,11214
2007-08,Fall,Lecture,Business Admin-Undergrad,3563,36,98.97222222,171,11180
2006-07,Spring,Lecture,Business Admin-Undergrad,3713,34,109.2058824,171,11171
2009-10,Fall,Lecture,Law,3345,81,41.2962963,171,11171
2004-05,Spring,Lecture,History,2794,44,63.5,171,11167
2015-16,Fall,Lecture,Statistics,3009,34,88.5,171,11141
2003-04,Summer,Lecture,Business Admin-Undergrad,3798,81,46.88888889,171,11053
2008-09,Fall,Lecture,Law,3330,81,41.11111111,171,11046
2005-06,Spring,Lecture,English,2788,89,31.3258427,171,11044
2005-06,Fall,Lecture,Molecular & Cell Biology,3069,27,113.6666667,171,11024
2008-09,Spring,Lecture,Sociology,2708,41,66.04878049,171,11023
2003-04,Fall,Lecture,Law,3395,86,39.47674419,171,11018
2011-12,Spring,Lecture,English,2754,86,32.02325581,171,11016
2009-10,Spring,Lecture,Molecular & Cell Biology,3228,40,80.7,171,10999
2015-16,Fall,Lecture,Political Science,3154,32,98.5625,171,10924
2008-09,Fall,Lecture,History,2731,39,70.02564103,171,10909
2006-07,Fall,Lecture,Sociology,2692,35,76.91428571,171,10890
2004-05,Fall,Lecture,History,2720,41,66.34146341,171,10880
2007-08,Spring,Lecture,Business Admin-Undergrad,3660,36,101.6666667,171,10870
2006-07,Fall,Lecture,Law,3302,90,36.68888889,171,10862
2003-04,Spring,Lecture,Business Admin-Undergrad,3547,43,82.48837209,171,10845
2007-08,Fall,Lecture,Psychology,3545,32,110.78125,171,10823
2007-08,Fall,Lecture,Law,3226,76,42.44736842,171,10772
2008-09,Fall,Lecture,Business Admin-Undergrad,3491,40,87.275,171,10770
2005-06,Spring,Lecture,History,2688,47,57.19148936,171,10731
2003-04,Fall,Lecture,Sociology,2647,32,82.71875,171,10714
2010-11,Spring,Lecture,Law,3322,119,27.91596639,171,10708
2010-11,Spring,Lecture,Computer Science,2762,43,64.23255814,171,10692
2015-16,Spring,Lecture,Public Health,3365,67,50.2238806,171,10690
2005-06,Fall,Lecture,Law,3350,88,38.06818182,171,10666
2008-09,Fall,Lecture,Psychology,3476,30,115.8666667,171,10665
2005-06,Fall,Lecture,English,2665,76,35.06578947,171,10660
2011-12,Fall,Lecture,English,2657,85,31.25882353,171,10611
2009-10,Fall,Lecture,Molecular & Cell Biology,2846,27,105.4074074,171,10597
2006-07,Fall,Lecture,History,2651,38,69.76315789,171,10592
2003-04,Fall,Lecture,English,2645,70,37.78571429,171,10580
2004-05,Fall,Lecture,Law,3208,81,39.60493827,171,10580
2011-12,Spring,Lecture,Psychology,3461,37,93.54054054,171,10573
2006-07,Fall,Lecture,Psychology,3448,31,111.2258065,171,10539
2008-09,Spring,Lecture,English,2634,77,34.20779221,171,10536
2012-13,Fall,Lecture,Psychology,3425,36,95.13888889,171,10491
2007-08,Spring,Lecture,Psychology,3427,28,122.3928571,171,10482
2010-11,Spring,Lecture,English,2617,80,32.7125,171,10468
2012-13,Fall,Lecture,English,2620,80,32.75,171,10467
2014-15,Fall,Lecture,Political Science,3125,30,104.1666667,171,10463
2009-10,Spring,Lecture,Psychology,3396,37,91.78378378,171,10434
2011-12,Spring,Lecture,Law,3325,127,26.18110236,171,10432
2007-08,Spring,Lecture,Sociology,2540,39,65.12820513,171,10401
2010-11,Spring,Lecture,Psychology,3418,40,85.45,171,10367
2003-04,Spring,Lecture,Law,3308,112,29.53571429,171,10365
2011-12,Fall,Lecture,Molecular & Cell Biology,2857,26,109.8846154,171,10344
2003-04,Fall,Lecture,Business Admin-Undergrad,3301,36,91.69444444,171,10312
2013-14,Spring,Lecture,Molecular & Cell Biology,2934,40,73.35,171,10254
2009-10,Fall,Lecture,Psychology,3364,38,88.52631579,171,10236
2015-16,Spring,Lecture,Psychology,3349,40,83.725,171,10230
2009-10,Spring,Lecture,Sociology,2513,32,78.53125,171,10193
2013-14,Spring,Lecture,History,2552,49,52.08163265,171,10187
2013-14,Fall,Lecture,Molecular & Cell Biology,2943,28,105.1071429,171,10180
2015-16,Fall,Lecture,Psychology,3336,38,87.78947368,171,10166
2008-09,Fall,Lecture,English,2539,76,33.40789474,171,10141
2012-13,Spring,Lecture,Molecular & Cell Biology,2905,38,76.44736842,171,10141
2014-15,Fall,Lecture,Psychology,3321,42,79.07142857,171,10138
2003-04,Fall,Lecture,Anthropology,2595,27,96.11111111,171,10125
2007-08,Fall,Lecture,Sociology,2514,34,73.94117647,171,10105
2004-05,Fall,Lecture,Molecular & Cell Biology,2813,31,90.74193548,171,10090
2009-10,Spring,Lecture,Law,3128,105,29.79047619,171,10072
2003-04,Fall,Lecture,Computer Science,2592,44,58.90909091,171,10042
2008-09,Spring,Lecture,Law,3192,124,25.74193548,171,10027
2005-06,Spring,Lecture,Law,3171,131,24.20610687,171,10024
2010-11,Fall,Lecture,Molecular & Cell Biology,2716,26,104.4615385,171,10021
2011-12,Fall,Lecture,History,2501,37,67.59459459,171,9995
2010-11,Spring,Lecture,Molecular & Cell Biology,2931,37,79.21621622,171,9950
2011-12,Spring,Lecture,Molecular & Cell Biology,2866,38,75.42105263,171,9950
2011-12,Spring,Lecture,Political Science,2959,34,87.02941176,171,9904
2006-07,Fall,Lecture,Business Admin-Undergrad,3134,33,94.96969697,171,9899
2013-14,Spring,Lecture,Political Science,2914,35,83.25714286,171,9880
2015-16,Spring,Lecture,Molecular & Cell Biology,2836,38,74.63157895,171,9847
2004-05,Fall,Lecture,Sociology,2426,30,80.86666667,171,9839
2015-16,Fall,Lecture,Molecular & Cell Biology,2849,29,98.24137931,171,9831
2007-08,Fall,Lecture,History,2463,32,76.96875,171,9827
2004-05,Fall,Lecture,English,2456,67,36.65671642,171,9824
2009-10,Spring,Lecture,Computer Science,2554,47,54.34042553,171,9816
2012-13,Spring,Lecture,Psychology,3196,34,94,171,9812
2008-09,Summer,Lecture,Business Admin-Undergrad,3340,57,58.59649123,171,9769
2014-15,Spring,Lecture,Political Science,2872,30,95.73333333,171,9769
2011-12,Fall,Lecture,Psychology,3201,32,100.03125,171,9762
2006-07,Spring,Lecture,Law,3126,127,24.61417323,171,9753
2004-05,Spring,Lecture,Law,3166,117,27.05982906,171,9740
2015-16,Spring,Lecture,Political Science,2799,32,87.46875,171,9738
2014-15,Fall,Lecture,Statistics,2643,27,97.88888889,171,9737
2012-13,Fall,Lecture,Molecular & Cell Biology,2789,26,107.2692308,171,9715
2005-06,Fall,Lecture,Psychology,3194,37,86.32432432,171,9693
2009-10,Fall,Lecture,Computer Science,2543,47,54.10638298,171,9687
2010-11,Fall,Lecture,Psychology,3155,38,83.02631579,171,9686
2004-05,Spring,Lecture,Business Admin-Undergrad,3129,45,69.53333333,171,9678
2008-09,Fall,Lecture,Sociology,2401,36,66.69444444,171,9678
2012-13,Spring,Lecture,English,2417,81,29.83950617,171,9668
2010-11,Spring,Lecture,History,2422,45,53.82222222,171,9643
2012-13,Fall,Lecture,History,2405,42,57.26190476,171,9614
2004-05,Fall,Lecture,Business Admin-Undergrad,3042,38,80.05263158,171,9609
2015-16,Spring,Lecture,Statistics,2636,32,82.375,171,9559
2015-16,Fall,Lecture,Public Health,3122,51,61.21568627,171,9553
2007-08,Spring,Lecture,Law,3004,114,26.35087719,171,9531
2004-05,Spring,Lecture,Psychology,3143,46,68.32608696,171,9526
2005-06,Fall,Lecture,Business Admin-Undergrad,3025,41,73.7804878,171,9513
2014-15,Fall,Lecture,Molecular & Cell Biology,2741,27,101.5185185,171,9492
2013-14,Fall,Lecture,History,2371,39,60.79487179,171,9472
2008-09,Spring,Lecture,Psychology,3102,23,134.8695652,171,9467
2014-15,Spring,Lecture,Public Health,3182,70,45.45714286,171,9456
2013-14,Fall,Lecture,Statistics,2508,30,83.6,171,9440
2015-16,Spring,Lecture,History,2362,43,54.93023256,171,9424
2004-05,Spring,Lecture,Sociology,2324,29,80.13793103,171,9408
2006-07,Spring,Lecture,Sociology,2328,33,70.54545455,171,9384
2014-15,Spring,Lecture,Psychology,3054,35,87.25714286,171,9309
2006-07,Fall,Lecture,English,2331,69,33.7826087,171,9307
2013-14,Fall,Lecture,English,2324,65,35.75384615,171,9287
2005-06,Fall,Lecture,Sociology,2296,36,63.77777778,171,9287
2011-12,Spring,Lecture,History,2324,39,59.58974359,171,9270
2013-14,Fall,Lecture,Psychology,3026,34,89,171,9264
2012-13,Fall,Lecture,Statistics,2455,31,79.19354839,171,9252
2012-13,Spring,Lecture,History,2315,40,57.875,171,9235
2005-06,Spring,Lecture,Sociology,2265,33,68.63636364,171,9224
2009-10,Spring,Lecture,Anthropology,2357,30,78.56666667,171,9161
2003-04,Spring,Lecture,Psychology,3037,45,67.48888889,171,9155
2013-14,Fall,Lecture,Political Science,2787,29,96.10344828,171,9144
2014-15,Spring,Lecture,Molecular & Cell Biology,2568,39,65.84615385,171,9088
2014-15,Spring,Lecture,History,2276,43,52.93023256,171,9083
2009-10,Fall,Lecture,Public Health,3058,60,50.96666667,171,9082
2004-05,Fall,Lecture,Anthropology,2340,22,106.3636364,171,9072
2014-15,Spring,Lecture,Statistics,2452,32,76.625,171,9071
2003-04,Spring,Lecture,Computer Science,2376,45,52.8,171,9066
2004-05,Summer,Lecture,Business Admin-Undergrad,3114,71,43.85915493,171,9035
2011-12,Fall,Lecture,Statistics,2390,30,79.66666667,171,9034
2011-12,Spring,Lecture,Statistics,2372,29,81.79310345,171,9033
2005-06,Spring,Lecture,Psychology,2954,42,70.33333333,171,9031
2010-11,Fall,Lecture,Statistics,2358,33,71.45454545,171,8953
2007-08,Fall,Lecture,Anthropology,2298,30,76.6,171,8924
2015-16,Fall,Lecture,"Env Sci, Policy, & Mgmt",2701,54,50.01851852,171,8917
2003-04,Fall,Lecture,Psychology,2908,39,74.56410256,171,8907
2008-09,Fall,Lecture,Computer Science,2326,46,50.56521739,171,8902
2004-05,Fall,Lecture,Psychology,2905,46,63.15217391,171,8894
2003-04,Spring,Lecture,Sociology,2174,29,74.96551724,171,8885
2007-08,Summer,Lecture,Business Admin-Undergrad,3023,57,53.03508772,171,8858
2006-07,Spring,Lecture,Psychology,2875,26,110.5769231,171,8841
2008-09,Spring,Lecture,Computer Science,2289,52,44.01923077,171,8839
2014-15,Fall,Lecture,History,2208,37,59.67567568,171,8832
2005-06,Spring,Lecture,Business Admin-Undergrad,2838,37,76.7027027,171,8795
2008-09,Fall,Lecture,Anthropology,2243,21,106.8095238,171,8706
2013-14,Spring,Lecture,Public Health,2973,64,46.453125,171,8683
2015-16,Fall,Lecture,History,2172,33,65.81818182,171,8679
2006-07,Fall,Lecture,Anthropology,2231,28,79.67857143,171,8666
2011-12,Spring,Lecture,Anthropology,2209,39,56.64102564,171,8662
2013-14,Spring,Lecture,Psychology,2813,32,87.90625,171,8608
2008-09,Spring,Lecture,Anthropology,2193,33,66.45454545,171,8534
2014-15,Spring,Lecture,English,2128,72,29.55555556,171,8512
2010-11,Fall,Lecture,Public Health,2861,60,47.68333333,171,8474
2008-09,Fall,Lecture,Integrative Biology,3069,34,90.26470588,171,8416
2010-11,Fall,Lecture,Integrative Biology,2952,34,86.82352941,171,8383
2011-12,Fall,Lecture,Anthropology,2134,28,76.21428571,171,8355
2014-15,Fall,Lecture,"Env Sci, Policy, & Mgmt",2623,51,51.43137255,171,8354
2010-11,Spring,Lecture,Anthropology,2147,32,67.09375,171,8331
2013-14,Spring,Lecture,English,2073,77,26.92207792,171,8292
2014-15,Fall,Lecture,English,2075,75,27.66666667,171,8285
2005-06,Fall,Lecture,Anthropology,2144,27,79.40740741,171,8278
2009-10,Fall,Lecture,Integrative Biology,2951,33,89.42424242,171,8278
2015-16,Fall,Lecture,English,2066,69,29.94202899,171,8253
2013-14,Fall,Lecture,Public Health,2895,51,56.76470588,171,8207
2012-13,Spring,Lecture,Anthropology,2094,34,61.58823529,171,8161
2014-15,Fall,Lecture,Public Health,2811,49,57.36734694,171,8142
2015-16,Spring,Lecture,English,2011,72,27.93055556,171,8140
2013-14,Spring,Lecture,Statistics,2191,31,70.67741935,171,8101
2006-07,Summer,Lecture,Business Admin-Undergrad,2796,60,46.6,171,8088
2007-08,Spring,Lecture,Anthropology,2081,30,69.36666667,171,8065
2003-04,Spring,Lecture,Anthropology,2074,27,76.81481481,171,8050
2008-09,Fall,Lecture,Public Health,2650,58,45.68965517,171,8028
2012-13,Fall,Lecture,Anthropology,2038,32,63.6875,171,7962
2009-10,Fall,Lecture,Statistics,2082,24,86.75,171,7946
2012-13,Fall,Lecture,Integrative Biology,2728,30,90.93333333,171,7896
2009-10,Summer,Lecture,Business Admin-Undergrad,2685,46,58.36956522,171,7880
2013-14,Fall,Lecture,"Env Sci, Policy, & Mgmt",2338,43,54.37209302,171,7869
2011-12,Fall,Lecture,Public Health,2772,55,50.4,171,7856
2008-09,Fall,Lecture,Statistics,2049,26,78.80769231,171,7856
2007-08,Fall,Lecture,Computer Science,2066,40,51.65,171,7852
2004-05,Fall,Lecture,Computer Science,2041,41,49.7804878,171,7838
2013-14,Fall,Lecture,Integrative Biology,2551,30,85.03333333,171,7802
2007-08,Spring,Lecture,Computer Science,2043,52,39.28846154,171,7780
2005-06,Summer,Lecture,Business Admin-Undergrad,2708,65,41.66153846,171,7774
2014-15,Fall,Lecture,Integrative Biology,2306,34,67.82352941,171,7772
2005-06,Fall,Lecture,Computer Science,2016,46,43.82608696,171,7757
2012-13,Spring,Lecture,Public Health,2643,67,39.44776119,171,7740
2006-07,Fall,Lecture,Computer Science,1988,40,49.7,171,7723
2009-10,Fall,Lecture,Anthropology,2011,21,95.76190476,171,7715
2012-13,Fall,Lecture,Public Health,2722,52,52.34615385,171,7711
2011-12,Fall,Lecture,Integrative Biology,2721,30,90.7,171,7703
2010-11,Summer,Lecture,Business Admin-Undergrad,2504,46,54.43478261,171,7699
2004-05,Spring,Lecture,Anthropology,1969,27,72.92592593,171,7693
